,subject,video
0,4_1_F,f_pl_o1_dir_+o
1,4_1_F,f_pl_o1_div_-o
2,4_1_F,m_pl_o1_div_-o
3,4_1_F,m_pl_o1_dir_+o
4,4_1_F,m_pl_o1_div_+o
5,4_1_F,f_pl_o1_dir_-o
6,4_1_F,f_pl_o1_div_+o
7,4_1_F,m_pl_o1_dir_-o
