,subject,video
0,1_2_f,f_pl_o1_dir_+o
1,1_2_f,m_pl_o1_dir_-o
2,1_2_f,f_pl_o1_div_+o
3,1_2_f,f_pl_o1_dir_-o
4,1_2_f,m_pl_o1_dir_+o
5,1_2_f,m_pl_o1_div_+o
6,1_2_f,f_pl_o1_div_-o
7,1_2_f,m_pl_o1_div_-o
