ParticipantID,Trial,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,StartYClean,EndYClean,Task,ParticipantGender,SearchOrder
1_1_f1,1,36,RIGHT,3.7,24,223.94,154.16,false,9772,9795,848,586.3,1051.1,588.2,494.70000000000005,492.79999999999995,VisualSearch,female,1
1_1_f1,1,37,LEFT,4.15,48,232.54,86.56,false,9938,9985,1026,590,798.8,575,491,506,VisualSearch,female,1
1_1_f1,1,38,RIGHT,9.05,52,416.89,173.98,false,10536,10587,807.8,588.3,1307,617.4,492.70000000000005,463.6,VisualSearch,female,1
1_1_f1,1,39,UP,0.94,19,61.26,49.59,false,10863,10881,1296.4,626.2,1300.5,587.5,454.79999999999995,493.5,VisualSearch,female,1
1_1_f1,1,40,LEFT,1.33,19,94.75,69.82,false,11041,11059,1287.7,582.5,1215.9,571.6,498.5,509.4,VisualSearch,female,1
1_1_f1,1,41,RIGHT,7.89,59,361.84,133.71,false,11196,11254,1229.6,577.7,1670,630,503.29999999999995,451,VisualSearch,female,1
1_1_f1,2,1,LEFT,2.06,24,138.72,85.79,false,275,298,1685.6,623.3,1567.1,623.3,457.70000000000005,457.70000000000005,VisualSearch,female,1
1_1_f1,2,2,LEFT,9.83,295,1111.39,33.32,true,431,725,1576.9,618.2,1039.7,533.2,462.79999999999995,547.8,VisualSearch,female,1
1_1_f1,2,3,UP,3.35,32,164.26,104.65,false,880,911,1081.8,503.9,1059.8,371.6,577.1,709.4,VisualSearch,female,1
1_1_f1,2,4,RIGHT,3.6,205,239.22,17.58,false,965,1169,1102.2,365.9,1246.4,270.8,715.1,810.2,VisualSearch,female,1
1_1_f1,2,5,.,0.49,24,21.69,20.26,false,1190,1213,1231.5,275.5,1256.3,281.8,805.5,799.2,VisualSearch,female,1
1_1_f1,2,6,LEFT,0.54,51,37.71,10.64,false,1257,1307,1274.7,279.5,1247,286.6,801.5,794.4,VisualSearch,female,1
1_1_f1,2,7,.,0.16,29,75.07,5.54,false,1378,1406,1256.2,277.9,1252.5,272.2,803.1,808.8,VisualSearch,female,1
1_1_f1,2,8,DOWN,11.55,77,419.42,150.02,false,1459,1535,1253,273,1158.6,738.5,808,342.5,VisualSearch,female,1
1_1_f1,2,9,.,0.19,16,25.83,11.71,false,1600,1615,1151,731,1153.9,723.4,350,357.6,VisualSearch,female,1
1_1_f1,2,10,LEFT,4.6,50,293.05,92.07,false,1817,1866,1149.6,722.4,927.9,823.6,358.6,257.4,VisualSearch,female,1
1_1_f1,2,11,LEFT,4.21,57,253.86,73.89,false,2115,2171,930.9,818.4,710.4,752,262.6,329,VisualSearch,female,1
1_1_f1,2,12,UP,5.93,56,224.67,105.93,false,2345,2400,711.5,750.7,655.4,508.4,330.29999999999995,572.6,VisualSearch,female,1
1_1_f1,2,13,.,0.15,39,31.23,3.8,false,2475,2513,657.1,512.9,652.4,508,568.1,573,VisualSearch,female,1
1_1_f1,2,14,DOWN,1.01,180,134.09,5.62,false,2574,2753,646,508.6,611.1,540.6,572.4,540.4,VisualSearch,female,1
1_1_f1,2,15,RIGHT,1.33,44,124.6,30.16,false,2799,2842,584.7,543.9,657.4,551.3,537.1,529.7,VisualSearch,female,1
1_1_f1,2,16,.,0.21,55,78.28,3.74,false,3005,3059,675.9,555.8,665.3,552.8,525.2,528.2,VisualSearch,female,1
1_1_f1,2,17,.,0.14,69,47.01,1.99,false,3148,3216,644.9,563.9,651.9,566.1,517.1,514.9,VisualSearch,female,1
1_1_f1,2,18,.,0.09,96,66.16,0.99,false,3355,3450,636.8,561.4,641.1,559.2,519.6,521.8,VisualSearch,female,1
1_1_f1,2,19,.,0.45,12,33.72,37.78,false,3696,3707,630.8,563.7,654.3,557.3,517.3,523.7,VisualSearch,female,1
1_1_f1,2,20,.,0.13,103,77.7,1.31,false,3792,3894,676.7,553.4,671.9,557.6,527.6,523.4,VisualSearch,female,1
1_1_f1,2,21,RIGHT,7.69,45,441.54,170.79,false,3974,4018,666,549.5,1084.5,512.1,531.5,568.9,VisualSearch,female,1
1_1_f1,2,22,.,0.25,32,35.94,7.85,false,4258,4289,1055.8,505.7,1069.4,506.9,575.3,574.1,VisualSearch,female,1
1_1_f1,2,23,DOWN,2.97,65,178.24,45.7,false,4455,4519,1058.9,497.2,1010.8,612.4,583.8,468.6,VisualSearch,female,1
1_1_f1,2,24,DOWN,3.48,26,215.99,133.91,false,4840,4865,1014.8,605.7,914.9,729.6,475.29999999999995,351.4,VisualSearch,female,1
1_1_f1,2,25,.,0.37,6,34.8,61.33,false,4939,4944,923.9,726.8,944.3,728.3,354.20000000000005,352.70000000000005,VisualSearch,female,1
1_1_f1,2,26,LEFT,0.51,65,34.06,7.8,false,4990,5054,964.6,725.5,936.4,724.5,355.5,356.5,VisualSearch,female,1
1_1_f1,2,27,RIGHT,5.66,33,317.86,171.49,false,5094,5126,953.2,723.8,1252.5,649.6,357.20000000000005,431.4,VisualSearch,female,1
1_1_f1,2,28,RIGHT,1.34,20,85.76,67.05,false,5365,5384,1238.9,642.4,1311,627.9,438.6,453.1,VisualSearch,female,1
1_1_f1,2,29,UP,7.74,59,264.73,131.13,false,5606,5664,1308.3,636.4,1081.3,371.9,444.6,709.1,VisualSearch,female,1
1_1_f1,2,30,.,0.45,8,30.61,56.49,false,5754,5761,1084.6,380.1,1067.2,367.6,700.9,713.4,VisualSearch,female,1
1_1_f1,2,31,UP,1.56,27,77,57.71,false,5918,5944,1106.3,373.1,1099,312.1,707.9,768.9,VisualSearch,female,1
1_1_f1,2,32,.,0.4,34,47.05,11.75,false,6007,6040,1087.5,328.8,1106.7,321.7,752.2,759.3,VisualSearch,female,1
1_1_f1,2,33,DOWN,3.45,149,223.9,23.13,false,6073,6221,1103.1,321.4,993.6,431.3,759.6,649.7,VisualSearch,female,1
1_1_f1,2,34,.,0.3,32,32.21,9.35,false,6262,6293,975.9,419.2,990.7,414.4,661.8,666.6,VisualSearch,female,1
1_1_f1,2,35,DOWN,3.4,38,228.23,89.59,false,6483,6520,979.5,404.8,1086.5,515.7,676.2,565.3,VisualSearch,female,1
1_1_f1,2,36,UP,6.64,47,300.56,141.27,false,6689,6735,1075.5,535.1,1243.6,300.9,545.9,780.1,VisualSearch,female,1
1_1_f1,2,37,.,0.3,60,39.68,5.02,false,6911,6970,1226,282.2,1241.5,285.8,798.8,795.2,VisualSearch,female,1
1_1_f1,2,38,LEFT,4.98,712,413.35,6.99,false,7043,7754,1243.8,281.8,985.2,334.8,799.2,746.2,VisualSearch,female,1
1_1_f1,2,39,RIGHT,8.26,326,904.78,25.33,true,7823,8148,953.9,303.7,1401.7,321.5,777.3,759.5,VisualSearch,female,1
1_1_f1,2,40,LEFT,1.35,17,89.51,79.61,false,8240,8256,1399.5,295.9,1333.1,272.5,785.1,808.5,VisualSearch,female,1
1_1_f1,2,41,DOWN,4.74,34,276.66,139.38,false,8402,8435,1339.3,270.1,1459.6,437.2,810.9,643.8,VisualSearch,female,1
1_1_f1,2,42,LEFT,8.16,919,323.99,8.88,false,8626,9544,1455,426.3,1013.6,377.6,654.7,703.4,VisualSearch,female,1
1_1_f1,2,43,.,0.1,37,104.52,2.76,false,9575,9611,1019.9,386.3,1024,383.6,694.7,697.4,VisualSearch,female,1
1_1_f1,2,44,DOWN,6.34,365,413.71,17.37,false,9649,10013,1019.9,376.3,1025.1,631.8,704.7,449.20000000000005,VisualSearch,female,1
1_1_f1,2,45,DOWN,4.85,49,286.17,98.99,false,10412,10460,992.9,653.6,1121.9,834.6,427.4,246.39999999999998,VisualSearch,female,1
1_1_f1,2,46,LEFT,4.1,29,228,141.37,false,10660,10688,1133.1,859.8,912,918.7,221.20000000000005,162.29999999999995,VisualSearch,female,1
1_1_f1,2,47,RIGHT,2.3,23,159.64,100.11,false,10932,10954,933.2,920.4,1054.6,961.5,160.60000000000002,119.5,VisualSearch,female,1
1_1_f1,2,48,.,0.44,7,32.04,62.17,false,11128,11134,1070.8,960.2,1045.9,957.8,120.79999999999995,123.20000000000005,VisualSearch,female,1
1_1_f1,3,1,.,0.28,6,40.47,47.11,false,125,130,1062.6,969.3,1067.9,981.4,111.70000000000005,99.60000000000002,VisualSearch,female,1
1_1_f1,3,2,LEFT,2.81,53,214.73,53.05,false,209,261,1071,985.1,908.7,996.4,95.89999999999998,84.60000000000002,VisualSearch,female,1
1_1_f1,3,3,UP,8.7,54,349.35,161.18,false,448,501,885.6,991.7,998.5,624.9,89.29999999999995,456.1,VisualSearch,female,1
1_1_f1,3,4,LEFT,0.56,87,32.73,6.43,false,627,713,1007.3,624.3,976.8,621,456.70000000000005,460,VisualSearch,female,1
1_1_f1,3,5,LEFT,3.38,28,196.73,120.88,false,746,773,980.1,620.3,827.2,701.6,460.70000000000005,379.4,VisualSearch,female,1
1_1_f1,3,6,DOWN,2.9,28,170.53,103.61,false,1013,1040,837.5,696.9,803.7,817.5,384.1,263.5,VisualSearch,female,1
1_1_f1,3,7,LEFT,3.59,30,204.04,119.75,false,1276,1305,815.4,804.2,614.3,781.4,276.79999999999995,299.6,VisualSearch,female,1
1_1_f1,3,8,LEFT,0.58,9,36.46,64.98,false,1357,1365,663.8,785.5,631.8,779,295.5,302,VisualSearch,female,1
1_1_f1,3,9,RIGHT,15.26,51,491.89,299.28,false,1468,1518,644.4,774.6,1490.3,640.8,306.4,440.20000000000005,VisualSearch,female,1
1_1_f1,3,10,LEFT,6.48,55,326.67,117.84,false,1851,1905,1473.2,626,1173.8,783.4,455,297.6,VisualSearch,female,1
1_1_f1,3,11,DOWN,3.38,77,204.6,43.85,false,2174,2250,1168.7,769.1,1046.8,881.9,311.9,199.10000000000002,VisualSearch,female,1
1_1_f1,3,12,UP,4.38,33,236.42,132.74,false,2487,2519,1065.5,894.6,1239.8,759.2,186.39999999999998,321.79999999999995,VisualSearch,female,1
1_1_f1,3,13,LEFT,10.6,144,329.03,73.61,false,2828,2971,1230.5,711,640.2,667.9,370,413.1,VisualSearch,female,1
1_1_f1,3,14,LEFT,0.74,73,86.31,10.11,false,3110,3182,624.2,670.5,583.2,674.7,410.5,406.29999999999995,VisualSearch,female,1
1_1_f1,3,15,LEFT,4.13,132,253.4,31.3,false,3235,3366,594,675.6,367.5,632.5,405.4,448.5,VisualSearch,female,1
1_1_f1,3,16,UP,4.2,256,201.98,16.42,false,3444,3699,375.7,636.3,432.5,468.2,444.70000000000005,612.8,VisualSearch,female,1
1_1_f1,3,17,RIGHT,11.68,50,438.15,233.57,false,3735,3784,430,469,1024.5,297.9,612,783.1,VisualSearch,female,1
1_1_f1,3,18,.,0.3,73,34.05,4.06,false,3814,3886,1000.2,287,987.2,293.7,794,787.3,VisualSearch,female,1
1_1_f1,3,19,DOWN,3.28,239,1018.51,13.73,true,3914,4152,996.7,295.2,1077.8,410,785.8,671,VisualSearch,female,1
1_1_f1,3,20,RIGHT,10.06,41,445.31,245.44,false,4176,4216,1088.6,411.5,1551.7,641.9,669.5,439.1,VisualSearch,female,1
1_1_f1,3,21,DOWN,4.42,40,277.42,110.53,false,4442,4481,1534.5,616.4,1689.3,766.4,464.6,314.6,VisualSearch,female,1
1_1_f1,3,22,LEFT,6.32,63,307.58,100.24,false,4639,4701,1704.5,766.8,1384.7,638.6,314.20000000000005,442.4,VisualSearch,female,1
1_1_f1,3,23,.,0.25,34,35.51,7.29,false,4736,4769,1388.3,634.1,1374.9,631.3,446.9,449.70000000000005,VisualSearch,female,1
1_1_f1,3,24,RIGHT,0.82,13,55.97,63.02,false,4894,4906,1385.5,628.4,1427.3,614.2,452.6,466.79999999999995,VisualSearch,female,1
1_1_f1,3,25,LEFT,2.87,40,186.75,71.8,false,5064,5103,1409.3,610.3,1250.1,597.6,470.70000000000005,483.4,VisualSearch,female,1
1_1_f1,3,26,.,0.28,17,30.09,16.65,false,5231,5247,1290.8,594.3,1275.1,594,486.70000000000005,487,VisualSearch,female,1
1_1_f1,3,27,RIGHT,10.03,53,512.88,189.25,false,5278,5330,1269.9,593,1702,879.6,488,201.39999999999998,VisualSearch,female,1
1_1_f1,3,28,LEFT,7.39,39,345.09,189.59,false,5641,5679,1699.3,882.4,1265.7,876.9,198.60000000000002,204.10000000000002,VisualSearch,female,1
